"Date","County","PHR","Doses_Allocated","Doses_Administered","People_Vaccinated_Partial","People_Vaccinated_Full","Population_Over_16","Population_Over_65","Population_Phase_1A_Healthcare","Population_Phase1A_Care_Residents","Population_Phase_1B_Medical_Condition"
NA,"Menard","9/10",0,"71","62","9","1759","687","15","40","887"
NA,"Midland","9/10",6300,"4162","2971","1191","132357","17262","7414","1391","54263"
NA,"Milam","7",1400,"692","681","11","19805","5508","693","254","10021"
NA,"Mills","7",200,"252","248","4","3970","1369","186","152","1970"
NA,"Mitchell","2/3",600,"257","256","1","7087","1476","310","96","3086"
NA,"Montague","2/3",200,"390","333","57","15803","4504","678","383","7509"
NA,"Montgomery","6/5S",36475,"13331","11773","1558","470846","84212","25684","3769","177437"
NA,"Moore","1",800,"846","837","9","15513","2464","477","176","7114"
NA,"Morris","4/5N",300,"283","276","7","9938","2901","146","179","4953"
NA,"Motley","1",0,"33","33","0","1016","403","20","50","504"
NA,"Nacogdoches","4/5N",5500,"2626","2614","12","52561","10458","3380","851","24062"
NA,"Navarro","2/3",1900,"1003","974","29","40888","9624","2099","869","19328"
NA,"Newton","4/5N",400,"211","211","0","11070","2715","101","113","6051"
NA,"Nolan","2/3",1000,"718","683","35","10998","2627","692","251","5398"
NA,"Nueces","11",34275,"14600","12988","1612","282299","51768","30463","4100","135074"
NA,"Ochiltree","1",800,"307","305","2","7508","1186","218","114","3211"
NA,"Oldham","1",0,"164","156","8","1714","417","20","0","743"
NA,"Orange","6/5S",800,"674","662","12","65680","14828","2217","554","32089"
NA,"Palo Pinto","2/3",700,"571","561","10","23268","5869","1093","283","11269"
NA,"Panola","4/5N",1200,"345","332","13","19325","4774","784","377","9112"
NA,"Parker","2/3",4900,"3763","3473","290","112329","24963","4236","1301","47252"
NA,"Parmer","1",500,"411","406","5","7111","1387","171","174","3503"
NA,"Pecos","9/10",1200,"529","525","4","11723","2090","458","120","5876"
NA,"Polk","4/5N",2500,"817","796","21","41511","10157","1578","574","20999"
NA,"Potter","1",40950,"9794","9231","563","89806","16187","12650","1877","41999"
NA,"Presidio","9/10",200,"206","206","0","5092","1503","38","0","3005"
NA,"Rains","4/5N",200,"230","214","16","10262","3084","221","68","4960"
NA,"Randall","1",4500,"15116","14101","1015","109144","21784","4683","869","41519"
NA,"Reagan","9/10",100,"96","92","4","2900","544","62","42","1287"
NA,"Real","8",0,"39","38","1","2882","1135","27","86","1608"
NA,"Red River","4/5N",200,"229","228","1","9511","2902","490","252","5235"
NA,"Reeves","9/10",400,"372","369","3","13004","2131","308","89","5885"
NA,"Refugio","11",600,"406","399","7","5497","1635","242","64","2785"
NA,"Roberts","1",0,"43","43","0","673","210","20","0","323"
NA,"Robertson","7",500,"383","371","12","14216","3542","273","252","6514"
NA,"Rockwall","2/3",3500,"2807","2474","333","81869","14227","4867","1327","30252"
NA,"Runnels","2/3",900,"632","575","57","7992","2310","499","312","3905"
NA,"Rusk","4/5N",1000,"755","702","53","44061","9463","1914","749","21319"
NA,"Sabine","4/5N",1200,"374","373","1","9116","3288","790","186","4721"
NA,"San Augustine","4/5N",800,"196","195","1","6982","2335","413","337","3730"
NA,"San Jacinto","4/5N",900,"480","462","18","23713","6477","230","190","12311"
NA,"San Patricio","11",800,"1355","1242","113","51382","10700","1409","396","22807"
NA,"San Saba","7",200,"71","69","2","5108","1536","95","72","2501"
NA,"Schleicher","9/10",200,"113","91","22","2184","564","71","34","1028"
NA,"Scurry","2/3",500,"298","294","4","12956","2503","560","128","6242"
NA,"Shackelford","2/3",0,"69","52","17","2694","694","122","0","1223"
NA,"Shelby","4/5N",1200,"341","340","1","18618","4285","754","369","9951"
NA,"Sherman","1",0,"67","66","1","2368","524","34","42","1047"
NA,"Smith","4/5N",34500,"11153","10133","1020","181426","38833","24195","2911","75818"
NA,"Somervell","2/3",0,"182","169","13","7769","2079","263","220","3417"
NA,"Starr","11",2300,"1800","1728","72","46042","7973","5154","1966","23826"
NA,"Stephens","2/3",300,"124","116","8","7614","1989","282","92","3830"
NA,"Sterling","9/10",0,"35","34","1","1019","306","9","44","445"
NA,"Stonewall","2/3",200,"57","54","3","1136","425","66","80","533"
NA,"Sutton","9/10",100,"55","38","17","2909","758","102","0","1326"
NA,"Swisher","1",100,"342","337","5","5843","1484","146","61","2985"
NA,"Tarrant","2/3",178725,"53419","48563","4856","1596169","246738","117603","18366","660059"
NA,"Taylor","2/3",11350,"7881","5237","2644","108531","20790","13362","2443","43683"
NA,"Terrell","9/10",0,"29","28","1","652","245","13","0","356"
NA,"Terry","1",1300,"679","660","19","9564","1942","478","178","4766"
NA,"Throckmorton","2/3",100,"103","103","0","1187","400","68","0","605"
NA,"Titus","4/5N",2200,"615","607","8","25312","5155","2112","633","11794"
NA,"Tom Green","9/10",9950,"5268","3611","1657","93428","18529","7802","1606","39665"
NA,"Travis","7",109650,"43513","37666","5847","1016090","126607","72623","8271","337286"
NA,"Trinity","4/5N",800,"353","352","1","12118","3960","400","241","6368"
NA,"Tyler","4/5N",1200,"787","787","0","18704","5080","627","238","9278"
NA,"Upshur","4/5N",400,"813","738","75","33211","7910","852","567","15425"
NA,"Upton","9/10",200,"150","148","2","2790","680","189","30","1304"
NA,"Uvalde","8",1600,"931","920","11","20809","4433","1687","459","10179"
NA,"Val Verde","8",2100,"1173","1165","8","38039","7591","3134","490","17165"
NA,"Van Zandt","4/5N",2000,"1334","1229","105","45144","12228","1691","711","21537"
NA,"Victoria","8",6550,"4282","3524","758","72004","14413","6748","1008","33178"
NA,"Walker","6/5S",3000,"1314","1287","27","64302","10281","2415","400","28400"
NA,"Waller","6/5S",1600,"704","659","45","44163","7506","1476","466","18373"
NA,"Ward","9/10",400,"227","224","3","8544","1608","180","92","4073"
NA,"Washington","7",1900,"863","822","41","28737","7674","2867","1018","13829"
NA,"Webb","11",26800,"8821","8459","362","205887","27759","14457","1766","96319"
NA,"Wharton","6/5S",1300,"600","573","27","31964","7399","1057","615","16049"
NA,"Wheeler","1",400,"234","234","0","4018","1136","230","114","1950"
NA,"Wichita","2/3",14950,"5303","4669","634","106550","21428","10503","2088","50159"
NA,"Wilbarger","2/3",2800,"1087","1037","50","9933","2483","540","304","5328"
NA,"Willacy","11",100,"487","434","53","16823","3062","269","557","9035"
NA,"Williamson","7",27575,"17831","15895","1936","457170","74290","20968","4643","160153"
NA,"Wilson","8",2700,"2081","1978","103","42030","9149","1516","615","16633"
NA,"Winkler","9/10",200,"215","213","2","5798","967","135","0","2663"
NA,"Wise","2/3",4350,"3430","2642","788","55570","11830","4112","552","26139"
NA,"Wood","4/5N",1500,"1235","1197","38","37205","12511","1107","790","18613"
NA,"Yoakum","1",300,"356","351","5","6336","1174","251","60","2690"
NA,"Young","2/3",1700,"499","495","4","15028","4183","1057","431","6955"
NA,"Zapata","11",200,"124","121","3","10088","1870","270","143","5427"
NA,"Zavala","8",100,"204","203","1","8768","1675","58","60","4807"
NA,"Anderson","4/5N",4700,"1136","1094","42","49346","8955","2590","833","24078"
NA,"Andrews","9/10",1100,"694","667","27","13954","1905","401","106","5867"
NA,"Angelina","4/5N",11200,"4307","4289","18","70388","14706","7603","1752","34525"
NA,"Aransas","11",500,"573","542","31","19727","6538","542","252","10102"
NA,"Archer","2/3",300,"450","384","66","7533","1887","107","59","3131"
NA,"Armstrong","1",200,"191","185","6","1693","588","37","86","659"
NA,"Atascosa","8",2700,"1410","1281","129","39065","7743","1181","655","17891"
NA,"Austin","6/5S",1300,"1165","1128","37","25584","6512","1069","396","10132"
NA,"Bailey","1",500,"150","148","2","5190","1024","156","74","2359"
NA,"Bandera","8",200,"807","770","37","19833","6530","426","186","9348"
NA,"Bastrop","7",1700,"1891","1713","178","70499","14746","2137","696","34606"
NA,"Baylor","2/3",600,"434","429","5","3002","916","156","97","1287"
NA,"Bee","11",1500,"847","775","72","26904","4202","1219","684","13037"
NA,"Bell","7",23200,"11542","9742","1800","265191","37371","20144","2466","105279"
NA,"Bexar","8",194575,"90651","74378","16273","1541803","248261","127752","17100","696450"
NA,"Blanco","7",300,"905","886","19","10177","3274","167","102","4572"
NA,"Borden","9/10",0,"17","17","0","580","206","10","0","228"
NA,"Bosque","7",1900,"595","579","16","15491","4847","677","407","7171"
NA,"Bowie","4/5N",7875,"2744","2325","419","78179","16917","7877","1532","36179"
NA,"Brazoria","6/5S",11400,"15405","12398","3007","295635","48145","13914","2648","119229"
NA,"Brazos","7",13950,"5664","5210","454","185835","21605","10756","1278","64988"
NA,"Brewster","9/10",1000,"511","502","9","7291","1942","548","0","3547"
NA,"Briscoe","1",100,"143","142","1","1295","443","18","0","642"
NA,"Brooks","11",300,"182","182","0","5438","1441","396","246","2867"
NA,"Brown","2/3",1500,"898","873","25","31586","8452","1886","911","14261"
NA,"Burleson","7",500,"453","433","20","14721","3981","203","218","7277"
NA,"Burnet","7",2800,"1092","1042","50","39423","11162","2391","595","17381"
NA,"Caldwell","7",1200,"921","857","64","33813","6558","1744","524","16400"
NA,"Calhoun","8",1000,"752","710","42","17169","3944","608","254","7841"
NA,"Callahan","2/3",500,"535","411","124","11666","3185","310","122","5346"
NA,"Cameron","11",33950,"25638","22251","3387","315242","59778","33067","6480","149238"
NA,"Camp","4/5N",100,"295","271","24","10054","2412","353","154","4991"
NA,"Carson","1",200,"402","391","11","4769","1096","77","0","2031"
NA,"Cass","4/5N",300,"384","340","44","24447","7203","1609","550","12120"
NA,"Castro","1",300,"348","345","3","5574","1267","152","174","2718"
NA,"Chambers","6/5S",2900,"1263","1141","122","34171","5692","1101","120","13721"
NA,"Cherokee","4/5N",4000,"1592","1541","51","41571","9380","1837","809","20430"
NA,"Childress","1",900,"450","445","5","5769","1177","276","136","2845"
NA,"Clay","2/3",300,"519","445","74","8544","2430","175","60","4071"
NA,"Cochran","1",100,"337","278","59","2167","497","66","0","1139"
NA,"Coke","9/10",0,"72","60","12","2839","957","47","130","1324"
NA,"Coleman","2/3",600,"250","236","14","6555","2051","418","162","3427"
NA,"Collin","2/3",39900,"31695","27791","3904","806242","118818","56174","7544","256993"
NA,"Collingsworth","1",300,"257","256","1","2177","574","94","92","1084"
NA,"Colorado","6/5S",600,"646","633","13","17682","5065","1057","477","7953"
NA,"Comal","8",8600,"4877","4312","565","125758","29676","7125","1845","45927"
NA,"Comanche","2/3",500,"497","492","5","11046","3438","418","292","5170"
NA,"Concho","9/10",0,"52","39","13","2381","528","81","66","1923"
NA,"Cooke","2/3",1500,"1230","1190","40","32501","7977","1347","552","14449"
NA,"Coryell","7",1600,"1253","1177","76","58277","6832","1291","594","25149"
NA,"Cottle","2/3",0,"44","44","0","1120","400","5","0","608"
NA,"Crane","9/10",200,"152","150","2","3483","625","95","110","1547"
NA,"Crockett","9/10",0,"64","59","5","2687","716","45","56","1307"
NA,"Crosby","1",200,"284","268","16","4386","1236","127","115","2252"
NA,"Culberson","9/10",200,"80","80","0","1797","529","79","0","972"
NA,"Dallam","1",700,"184","184","0","5092","691","95","0","2336"
NA,"Dallas","2/3",184875,"88248","73879","14369","2015538","284171","183122","21354","820238"
NA,"Dawson","9/10",500,"217","203","14","9997","1927","385","112","5005"
NA,"Deaf Smith","1",1100,"763","752","11","14288","2472","316","228","6265"
NA,"Delta","4/5N",0,"107","101","6","4312","1312","437","100","2090"
NA,"Denton","2/3",32400,"18922","16671","2251","702429","94410","34569","5667","276089"
NA,"DeWitt","8",700,"506","446","60","16610","4251","421","438","7926"
NA,"Dickens","1",0,"37","36","1","1840","546","29","0","943"
NA,"Dimmit","8",500,"307","307","0","7130","1517","226","175","4018"
NA,"Donley","1",100,"229","227","2","2655","798","47","74","1278"
NA,"Duval","11",200,"580","570","10","8359","2073","107","150","4543"
NA,"Eastland","2/3",600,"702","683","19","14718","4181","1021","405","7102"
NA,"Ector","9/10",10900,"5399","5046","353","123303","16788","6730","1016","54750"
NA,"Edwards","8",0,"64","59","5","1605","586","27","0","792"
NA,"El Paso","9/10",79400,"53993","47189","6804","640715","111036","46429","8546","281334"
NA,"Ellis","2/3",4600,"5503","4792","711","146536","26120","5259","1781","61039"
NA,"Erath","2/3",700,"1007","935","72","34869","6466","1793","481","14817"
NA,"Falls","7",300,"306","285","21","14306","3332","413","187","7192"
NA,"Fannin","2/3",2300,"1343","1311","32","29681","7609","1161","693","13661"
NA,"Fayette","7",1200,"768","746","22","21209","6683","1251","647","9754"
NA,"Fisher","2/3",200,"66","63","3","3139","996","184","28","1509"
NA,"Floyd","1",200,"271","268","3","4283","1207","156","68","2228"
NA,"Foard","2/3",100,"155","153","2","937","323","9","80","489"
NA,"Fort Bend","6/5S",34400,"31305","26156","5149","626861","97435","33263","4965","192056"
NA,"Franklin","4/5N",400,"356","346","10","8327","2189","181","163","3820"
NA,"Freestone","7",1100,"406","404","2","16551","4068","718","261","8172"
NA,"Frio","8",1500,"774","763","11","15133","2573","226","270","7605"
NA,"Gaines","9/10",1100,"556","549","7","14875","2237","348","95","6531"
NA,"Galveston","6/5S",21900,"20266","16873","3393","267032","50119","15388","2824","113161"
NA,"Garza","1",0,"84","75","9","5021","727","52","75","2607"
NA,"Gillespie","8",1900,"1077","1057","20","22728","8108","1453","706","10293"
NA,"Glasscock","9/10",0,"14","13","1","1108","296","28","0","491"
NA,"Goliad","8",100,"214","192","22","6615","2077","59","135","3059"
NA,"Gonzales","8",1200,"854","841","13","15931","3700","626","256","7818"
NA,"Gray","1",1200,"876","868","8","17050","3428","927","315","8475"
NA,"Grayson","2/3",16975,"5155","4936","219","107568","25224","10711","1989","49725"
NA,"Gregg","4/5N",10950,"5274","4284","990","97771","19676","10046","2328","45063"
NA,"Grimes","7",1000,"681","661","20","23692","5592","422","311","11724"
NA,"Guadalupe","8",5300,"4284","3729","555","130156","24014","5123","1292","56504"
NA,"Hale","1",2600,"1499","1421","78","25066","4629","1308","399","12481"
NA,"Hall","1",0,"161","157","4","2399","745","42","72","1348"
NA,"Hamilton","7",1200,"1543","1540","3","6957","2150","503","296","3427"
NA,"Hansford","1",400,"250","248","2","3992","874","163","84","1970"
NA,"Hardeman","2/3",500,"314","308","6","3017","769","118","16","1552"
NA,"Hardin","6/5S",3400,"1559","1499","60","47640","10521","1237","527","19766"
NA,"Harris","6/5S",391825,"190437","159031","31406","3573784","490810","281834","27084","1572384"
NA,"Harrison","4/5N",2200,"1618","1381","237","53015","11647","3586","608","25401"
NA,"Hartley","1",0,"159","158","1","4850","899","203","94","2001"
NA,"Haskell","2/3",100,"187","180","7","4635","1242","136","68","2483"
NA,"Hays","7",12750,"7466","6670","796","183387","29281","7680","1557","67042"
NA,"Hemphill","1",800,"374","373","1","2788","547","113","98","1271"
NA,"Henderson","4/5N",3300,"1882","1698","184","67614","18942","2628","932","35206"
NA,"Hidalgo","11",75175,"28508","24686","3822","649795","102347","62827","16918","319830"
NA,"Hill","7",900,"1096","1052","44","29221","8003","1219","523","14733"
NA,"Hockley","1",700,"763","656","107","17482","3513","795","263","8124"
NA,"Hood","2/3",2100,"1193","1146","47","50235","15761","2493","862","23089"
NA,"Hopkins","4/5N",1200,"1159","1064","95","29578","7446","1680","620","13891"
NA,"Houston","4/5N",1500,"924","915","9","19208","5038","1114","426","9989"
NA,"Howard","9/10",2500,"923","901","22","28821","4493","1826","454","14072"
NA,"Hudspeth","9/10",0,"67","65","2","2968","818","35","0","2097"
NA,"Hunt","2/3",4900,"2701","2505","196","77702","16832","4485","947","36713"
NA,"Hutchinson","1",500,"616","603","13","15984","3458","545","246","7583"
NA,"Irion","9/10",0,"26","24","2","1345","412","19","0","563"
NA,"Jack","2/3",300,"338","320","18","7488","1604","226","149","3304"
NA,"Jackson","8",1200,"631","594","37","11172","2670","422","237","5354"
NA,"Jasper","4/5N",1900,"731","708","23","28248","7271","1952","374","15256"
NA,"Jeff Davis","9/10",0,"64","64","0","2146","846","29","0","1042"
NA,"Jefferson","6/5S",15550,"4339","4011","328","198728","36802","16838","2497","109233"
NA,"Jim Hogg","11",100,"457","456","1","3764","898","35","60","1972"
NA,"Jim Wells","11",1000,"1098","1028","70","29988","6423","4090","1033","15173"
NA,"Johnson","2/3",2800,"4150","3627","523","135188","26669","5142","1260","61261"
NA,"Jones","2/3",100,"525","424","101","16827","3127","400","340","8290"
NA,"Karnes","8",800,"431","423","8","12523","2489","396","244","6085"
NA,"Kaufman","2/3",3250,"4074","3532","542","104736","19164","4062","1176","43786"
NA,"Kendall","8",2300,"2260","1825","435","38074","9979","2094","801","15516"
NA,"Kenedy","11",0,"13","12","1","315","94","1","0","176"
NA,"Kent","2/3",0,"48","48","0","633","235","14","60","275"
NA,"Kerr","8",3100,"1223","1211","12","43611","14400","3557","1022","20395"
NA,"Kimble","9/10",300,"194","185","9","3844","1379","104","0","1891"
NA,"King","1",0,"9","8","1","233","60","5","0","93"
NA,"Kinney","8",0,"27","27","0","2931","889","19","0","1673"
NA,"Kleberg","11",800,"881","827","54","25862","4574","1835","341","10851"
NA,"Knox","2/3",300,"197","194","3","2861","823","117","127","1265"
NA,"La Salle","8",100,"129","125","4","6105","1224","37","60","2810"
NA,"Lamar","4/5N",3100,"1623","1604","19","40212","10314","3737","745","19135"
NA,"Lamb","1",200,"509","475","34","9647","2400","541","226","5028"
NA,"Lampasas","7",200,"361","321","40","17275","4497","436","284","8188"
NA,"Lavaca","8",1600,"1074","1038","36","16041","4537","881","620","7426"
NA,"Lee","7",600,"439","430","9","13837","3373","363","226","6632"
NA,"Leon","7",500,"369","363","6","14066","4292","256","74","6485"
NA,"Liberty","6/5S",3300,"1689","1602","87","70912","13765","2505","614","32693"
NA,"Limestone","7",1100,"581","570","11","19033","4691","2488","1060","9655"
NA,"Lipscomb","1",0,"160","159","1","2496","636","31","61","1202"
NA,"Live Oak","11",200,"290","282","8","9966","2656","55","100","4881"
NA,"Llano","7",100,"493","482","11","18642","7523","340","358","9093"
NA,"Loving","9/10",0,"5","5","0","83","34","1","0","47"
NA,"Lubbock","1",58050,"25592","20816","4776","243899","41235","24699","4151","94573"
NA,"Lynn","1",200,"359","325","34","4820","1113","212","40","2246"
NA,"Madison","7",500,"263","254","9","11353","2256","314","258","5423"
NA,"Marion","4/5N",0,"172","146","26","8117","2491","372","158","4457"
NA,"Martin","9/10",300,"308","288","20","4306","880","184","0","1849"
NA,"Mason","9/10",200,"172","157","15","3567","1322","126","0","1710"
NA,"Matagorda","6/5S",2400,"523","513","10","28353","6359","1540","369","14206"
NA,"Maverick","8",2400,"1272","1266","6","42357","7656","3716","1198","21160"
NA,"McCulloch","9/10",400,"273","260","13","6675","2024","303","122","3045"
NA,"McLennan","7",14500,"9302","8418","884","198642","37827","14401","3591","84638"
NA,"McMullen","11",0,"9","9","0","640","256","13","0","288"
NA,"Medina","8",1000,"1588","1466","122","42991","9239","1165","811","19399"
NA,"Menard","9/10",0,"75","66","9","1759","687","15","40","887"
NA,"Midland","9/10",6300,"4858","3500","1358","132357","17262","7414","1391","54263"
NA,"Milam","7",1400,"992","969","23","19805","5508","693","254","10021"
NA,"Mills","7",200,"256","251","5","3970","1369","186","152","1970"
NA,"Mitchell","2/3",600,"264","263","1","7087","1476","310","96","3086"
NA,"Montague","2/3",200,"550","487","63","15803","4504","678","383","7509"
NA,"Montgomery","6/5S",36475,"14696","12859","1837","470846","84212","25684","3769","177437"
NA,"Moore","1",800,"901","892","9","15513","2464","477","176","7114"
NA,"Morris","4/5N",300,"321","307","14","9938","2901","146","179","4953"
NA,"Motley","1",0,"42","41","1","1016","403","20","50","504"
NA,"Nacogdoches","4/5N",5500,"3662","3647","15","52561","10458","3380","851","24062"
NA,"Navarro","2/3",1900,"1103","1071","32","40888","9624","2099","869","19328"
NA,"Newton","4/5N",400,"248","245","3","11070","2715","101","113","6051"
NA,"Nolan","2/3",1000,"927","892","35","10998","2627","692","251","5398"
NA,"Nueces","11",34275,"15948","13706","2242","282299","51768","30463","4100","135074"
NA,"Ochiltree","1",800,"439","436","3","7508","1186","218","114","3211"
NA,"Oldham","1",0,"166","158","8","1714","417","20","0","743"
NA,"Orange","6/5S",800,"848","795","53","65680","14828","2217","554","32089"
NA,"Palo Pinto","2/3",700,"634","623","11","23268","5869","1093","283","11269"
NA,"Panola","4/5N",1200,"539","506","33","19325","4774","784","377","9112"
NA,"Parker","2/3",4900,"4184","3867","317","112329","24963","4236","1301","47252"
NA,"Parmer","1",500,"412","407","5","7111","1387","171","174","3503"
NA,"Pecos","9/10",1200,"575","570","5","11723","2090","458","120","5876"
NA,"Polk","4/5N",2500,"1055","1028","27","41511","10157","1578","574","20999"
NA,"Potter","1",40950,"10057","9493","564","89806","16187","12650","1877","41999"
NA,"Presidio","9/10",200,"214","214","0","5092","1503","38","0","3005"
NA,"Rains","4/5N",200,"246","227","19","10262","3084","221","68","4960"
NA,"Randall","1",4500,"15512","14495","1017","109144","21784","4683","869","41519"
NA,"Reagan","9/10",100,"109","105","4","2900","544","62","42","1287"
NA,"Real","8",0,"41","40","1","2882","1135","27","86","1608"
NA,"Red River","4/5N",200,"388","385","3","9511","2902","490","252","5235"
NA,"Reeves","9/10",400,"387","382","5","13004","2131","308","89","5885"
NA,"Refugio","11",600,"419","410","9","5497","1635","242","64","2785"
NA,"Roberts","1",0,"44","44","0","673","210","20","0","323"
NA,"Robertson","7",500,"428","413","15","14216","3542","273","252","6514"
NA,"Rockwall","2/3",3500,"3129","2759","370","81869","14227","4867","1327","30252"
NA,"Runnels","2/3",900,"711","653","58","7992","2310","499","312","3905"
NA,"Rusk","4/5N",1000,"989","891","98","44061","9463","1914","749","21319"
NA,"Sabine","4/5N",1200,"507","505","2","9116","3288","790","186","4721"
NA,"San Augustine","4/5N",800,"264","263","1","6982","2335","413","337","3730"
NA,"San Jacinto","4/5N",900,"584","561","23","23713","6477","230","190","12311"
NA,"San Patricio","11",800,"1502","1351","151","51382","10700","1409","396","22807"
NA,"San Saba","7",200,"74","72","2","5108","1536","95","72","2501"
NA,"Schleicher","9/10",200,"114","92","22","2184","564","71","34","1028"
NA,"Scurry","2/3",500,"336","332","4","12956","2503","560","128","6242"
NA,"Shackelford","2/3",0,"82","65","17","2694","694","122","0","1223"
NA,"Shelby","4/5N",1200,"525","521","4","18618","4285","754","369","9951"
NA,"Sherman","1",0,"107","106","1","2368","524","34","42","1047"
NA,"Smith","4/5N",34500,"13691","11911","1780","181426","38833","24195","2911","75818"
NA,"Somervell","2/3",0,"194","181","13","7769","2079","263","220","3417"
NA,"Starr","11",2300,"1905","1833","72","46042","7973","5154","1966","23826"
NA,"Stephens","2/3",300,"215","207","8","7614","1989","282","92","3830"
NA,"Sterling","9/10",0,"37","36","1","1019","306","9","44","445"
NA,"Stonewall","2/3",200,"59","56","3","1136","425","66","80","533"
NA,"Sutton","9/10",100,"57","40","17","2909","758","102","0","1326"
NA,"Swisher","1",100,"353","348","5","5843","1484","146","61","2985"
NA,"Tarrant","2/3",178725,"61868","56504","5364","1596169","246738","117603","18366","660059"
NA,"Taylor","2/3",11350,"8864","6214","2650","108531","20790","13362","2443","43683"
NA,"Terrell","9/10",0,"29","28","1","652","245","13","0","356"
NA,"Terry","1",1300,"724","704","20","9564","1942","478","178","4766"
NA,"Throckmorton","2/3",100,"117","117","0","1187","400","68","0","605"
NA,"Titus","4/5N",2200,"756","745","11","25312","5155","2112","633","11794"
NA,"Tom Green","9/10",9950,"5426","3757","1669","93428","18529","7802","1606","39665"
NA,"Travis","7",109650,"50825","43014","7811","1016090","126607","72623","8271","337286"
NA,"Trinity","4/5N",800,"436","434","2","12118","3960","400","241","6368"
NA,"Tyler","4/5N",1200,"827","825","2","18704","5080","627","238","9278"
NA,"Upshur","4/5N",400,"1008","841","167","33211","7910","852","567","15425"
NA,"Upton","9/10",200,"155","153","2","2790","680","189","30","1304"
NA,"Uvalde","8",1600,"983","969","14","20809","4433","1687","459","10179"
NA,"Val Verde","8",2100,"1233","1221","12","38039","7591","3134","490","17165"
NA,"Van Zandt","4/5N",2000,"1530","1395","135","45144","12228","1691","711","21537"
NA,"Victoria","8",6550,"4412","3646","766","72004","14413","6748","1008","33178"
NA,"Walker","6/5S",3000,"1521","1491","30","64302","10281","2415","400","28400"
NA,"Waller","6/5S",1600,"800","736","64","44163","7506","1476","466","18373"
NA,"Ward","9/10",400,"316","313","3","8544","1608","180","92","4073"
NA,"Washington","7",1900,"1094","1045","49","28737","7674","2867","1018","13829"
NA,"Webb","11",26800,"9923","9438","485","205887","27759","14457","1766","96319"
NA,"Wharton","6/5S",1300,"633","604","29","31964","7399","1057","615","16049"
NA,"Wheeler","1",400,"310","310","0","4018","1136","230","114","1950"
NA,"Wichita","2/3",14950,"7616","6253","1363","106550","21428","10503","2088","50159"
NA,"Wilbarger","2/3",2800,"1149","1095","54","9933","2483","540","304","5328"
NA,"Willacy","11",100,"544","487","57","16823","3062","269","557","9035"
NA,"Williamson","7",27575,"20269","17775","2494","457170","74290","20968","4643","160153"
NA,"Wilson","8",2700,"2246","2102","144","42030","9149","1516","615","16633"
NA,"Winkler","9/10",200,"250","248","2","5798","967","135","0","2663"
NA,"Wise","2/3",4350,"3933","3141","792","55570","11830","4112","552","26139"
NA,"Wood","4/5N",1500,"1458","1374","84","37205","12511","1107","790","18613"
NA,"Yoakum","1",300,"366","359","7","6336","1174","251","60","2690"
NA,"Young","2/3",1700,"593","588","5","15028","4183","1057","431","6955"
NA,"Zapata","11",200,"185","182","3","10088","1870","270","143","5427"
NA,"Zavala","8",100,"263","262","1","8768","1675","58","60","4807"
NA,"Anderson","4/5N",4700,"1285","1237","48","49346","8955","2590","833","24078"
NA,"Andrews","9/10",1100,"698","671","27","13954","1905","401","106","5867"
NA,"Angelina","4/5N",11200,"4434","4416","18","70388","14706","7603","1752","34525"
NA,"Aransas","11",500,"589","555","34","19727","6538","542","252","10102"
NA,"Archer","2/3",300,"478","412","66","7533","1887","107","59","3131"
NA,"Armstrong","1",200,"215","209","6","1693","588","37","86","659"
NA,"Atascosa","8",2700,"1437","1307","130","39065","7743","1181","655","17891"
NA,"Austin","6/5S",1300,"1189","1150","39","25584","6512","1069","396","10132"
NA,"Bailey","1",500,"155","153","2","5190","1024","156","74","2359"
NA,"Bandera","8",200,"881","844","37","19833","6530","426","186","9348"
NA,"Bastrop","7",1700,"2027","1844","183","70499","14746","2137","696","34606"
NA,"Baylor","2/3",600,"434","429","5","3002","916","156","97","1287"
NA,"Bee","11",1500,"985","913","72","26904","4202","1219","684","13037"
NA,"Bell","7",23200,"12418","10553","1865","265191","37371","20144","2466","105279"
NA,"Bexar","8",194575,"95340","78598","16742","1541803","248261","127752","17100","696450"
NA,"Blanco","7",300,"922","902","20","10177","3274","167","102","4572"
NA,"Borden","9/10",0,"19","19","0","580","206","10","0","228"
NA,"Bosque","7",1900,"615","598","17","15491","4847","677","407","7171"
NA,"Bowie","4/5N",7875,"2780","2355","425","78179","16917","7877","1532","36179"
NA,"Brazoria","6/5S",11400,"16355","13260","3095","295635","48145","13914","2648","119229"
NA,"Brazos","7",13950,"6022","5556","466","185835","21605","10756","1278","64988"
NA,"Brewster","9/10",1000,"527","516","11","7291","1942","548","0","3547"
NA,"Briscoe","1",100,"154","153","1","1295","443","18","0","642"
NA,"Brooks","11",300,"182","182","0","5438","1441","396","246","2867"
NA,"Brown","2/3",1500,"920","895","25","31586","8452","1886","911","14261"
NA,"Burleson","7",500,"471","449","22","14721","3981","203","218","7277"
NA,"Burnet","7",2800,"1147","1096","51","39423","11162","2391","595","17381"
NA,"Caldwell","7",1200,"986","918","68","33813","6558","1744","524","16400"
NA,"Calhoun","8",1000,"792","741","51","17169","3944","608","254","7841"
NA,"Callahan","2/3",500,"537","413","124","11666","3185","310","122","5346"
NA,"Cameron","11",33950,"25852","22411","3441","315242","59778","33067","6480","149238"
