"District","Date","County","LEA","Total_Enrollment","Approximate_Enrollment","Cases_Weekly_GRADE_EE_3","Cases_Weekly_GRADE_4_6","Cases_Weekly_GRADE_7_12","Cases_Weekly_Staff","Infections_Weekly_On_Campus","Infections_Weekly_Off_Campus","Infections_Weekly_Unknown","Cases_Cumulative_GRADE_EE_3","Cases_Cumulative_GRADE_4_6","Cases_Cumulative_GRADE_7_12","Cases_Cumulative_Staff","Infections_Cumulative_On_Campus","Infections_Cumulative_Off_Campus","Infections_Cumulative_Unknown"
"Dimmitt ISD",2020-10-04,"Castro,Deaf Smith,Parmer,Randall",35901,1174,928.23,NA,NA,NA,NA,NA,NA,NA,0,2,8,1,0,2,9
"Hart ISD",2020-10-04,"Castro,Hale,Lamb,Swisher",35902,205,143.5,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,2,0
"Nazareth ISD",2020-10-04,"Castro,Swisher",35903,250,240,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anahuac ISD",2020-10-04,"Chambers,Galveston,Liberty",36901,1282,896.66,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Barbers Hill ISD",2020-10-04,"Chambers,Galveston,Harris,Liberty",36902,1136,890.5,1,0,1,0,0,2,0,1,2,8,7,0,18,0
"East Chambers ISD",2020-10-04,"Chambers,Galveston,Jefferson,Liberty",36903,1060,782.91,1,0,2,4,0,0,7,3,3,7,13,7,7,12
"Alto ISD",2020-10-04,"Anderson,Cherokee,Houston,Nacogdoches",37901,623,479.34,NA,NA,NA,NA,NA,NA,NA,0,2,8,3,0,1,12
"Jacksonville ISD",2020-10-04,"Anderson,Cherokee",37904,4670,3783.91,0,1,4,1,0,1,5,10,5,36,22,3,41,29
"Rusk ISD",2020-10-04,"Anderson,Cherokee,Nacogdoches,Rusk",37907,1919,5.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Summerfield ISD",2020-10-04,"Cherokee,Rusk",37908,530,487.6,0,0,1,0,0,1,0,0,0,3,1,0,1,3
"Wells ISD",2020-10-04,"Angelina,Cherokee,Houston,Nacogdoches",37909,259,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Childress ISD",2020-10-04,"Childress,Cottle,Foard,Hall,Hardeman",38901,975,893.63,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Henrietta ISD",2020-10-04,"Archer,Clay,Wichita",39902,922,854.7,0,1,5,1,0,0,7,0,1,7,2,0,0,10
"Petrolia Cisd",2020-10-04,"Clay,Wichita",39903,442,430.59,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Bellevue ISD",2020-10-04,"Clay,Montague",39904,139,133.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midway ISD",2020-10-04,"Archer,Clay,Jack",39905,135,130.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morton ISD",2020-10-04,"Bailey,Cochran",40901,367,315.62,0,0,1,7,3,2,3,0,0,2,10,3,5,4
"Whiteface Cisd",2020-10-04,"Bailey,Cochran,Hockley,Lamb,Terry,Yoakum",40902,339,308.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bronte ISD",2020-10-04,"Coke,Runnels,Tom Green",41901,239,234.22,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Robert Lee ISD",2020-10-04,"Coke,Mitchell,Nolan,Sterling,Tom Green",41902,241,214.49,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Coleman ISD",2020-10-04,"Brown,Callahan,Coleman,Runnels,Taylor",42901,808,66.02,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,3,1
"Santa Anna ISD",2020-10-04,"Brown,Coleman,McCulloch",42903,263,239.23,NA,NA,NA,NA,NA,NA,NA,0,2,6,0,0,8,0
"Panther Creek Cisd",2020-10-04,"Coleman,Concho,McCulloch,Runnels",42905,158,118.5,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Imagine International Academy Of North Texas",2020-10-04,"Collin",43801,1423,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lone Star Language Academy",2020-10-04,"Collin",43802,217,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allen ISD",2020-10-04,"Collin",43901,21506,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anna ISD",2020-10-04,"Collin,Grayson",43902,3977,2672.35,0,0,2,2,0,0,4,0,0,4,4,0,0,8
"Celina ISD",2020-10-04,"Collin,Denton,Grayson",43903,2842,2262.64,0,0,2,3,0,4,1,4,12,54,21,2,55,34
"Farmersville ISD",2020-10-04,"Collin,Hunt",43904,1852,1457.77,NA,NA,NA,NA,NA,NA,NA,0,3,4,1,0,8,0
"Frisco ISD",2020-10-04,"Collin,Denton",43905,62823,556.62,2,3,9,4,0,0,18,13,6,61,31,0,0,111
"Mckinney ISD",2020-10-04,"Collin",43907,23102,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melissa ISD",2020-10-04,"Collin",43908,4063,86.73,0,0,1,0,0,0,1,1,0,4,1,0,1,5
"Plano ISD",2020-10-04,"Collin,Dallas",43910,49432,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Princeton ISD",2020-10-04,"Collin",43911,5697,3227.14,1,2,1,4,0,6,2,2,4,13,9,2,21,5
"Prosper ISD",2020-10-04,"Collin,Denton",43912,18706,11971.39,6,11,22,11,0,0,50,14,21,47,20,0,16,86
"Wylie ISD",2020-10-04,"Collin,Dallas,Rockwall",43914,16998,8853.1,2,2,5,4,0,0,13,6,6,24,19,2,23,30
"Blue Ridge ISD",2020-10-04,"Collin,Fannin,Hunt",43917,882,769.52,0,0,0,1,0,0,1,1,0,0,3,0,0,4
"Community ISD",2020-10-04,"Collin,Hunt,Rockwall",43918,2727,1754.34,NA,NA,NA,NA,NA,NA,NA,0,7,26,10,2,18,23
"Lovejoy ISD",2020-10-04,"Collin",43919,4188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wellington ISD",2020-10-04,"Childress,Collingsworth,Donley,Hall,Wheeler",44902,532,505.4,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,0,1
"Columbus ISD",2020-10-04,"Austin,Colorado,Fayette",45902,1494,274.29,NA,NA,NA,NA,NA,NA,NA,0,1,0,3,0,3,1
"Rice Cisd",2020-10-04,"Austin,Colorado,Lavaca,Wharton",45903,1279,733.68,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,1,2
"Weimar ISD",2020-10-04,"Colorado,Fayette,Lavaca",45905,653,600.76,NA,NA,NA,NA,NA,NA,NA,2,1,1,0,0,3,1
"Trinity Charter School",2020-10-04,"Comal",46802,387,263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Braunfels ISD",2020-10-04,"Comal,Guadalupe",46901,9209,5598.54,0,0,4,5,3,5,1,2,1,13,6,3,17,2
"Comal ISD",2020-10-04,"Bexar,Blanco,Comal,Guadalupe,Hays,Kendall",46902,25135,15349.39,0,1,3,1,0,3,2,14,4,29,16,0,17,46
"Comanche ISD",2020-10-04,"Brown,Comanche,Erath,Mills",47901,364,109.2,0,2,1,3,0,5,1,1,2,6,9,0,17,1
"De Leon ISD",2020-10-04,"Comanche,Eastland,Erath",47902,739,709.44,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,1
"Gustine ISD",2020-10-04,"Comanche,Hamilton",47903,148,134.68,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,1
"Sidney ISD",2020-10-04,"Brown,Comanche",47905,147,145.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eden Cisd",2020-10-04,"Concho,Menard,Schleicher,Tom Green",48901,235,164.5,0,0,0,2,0,0,2,0,0,0,3,0,1,2
"Paint Rock ISD",2020-10-04,"Coleman,Concho,Runnels,Tom Green",48903,223,198.47,NA,NA,NA,NA,NA,NA,NA,1,0,3,4,2,2,4
"Gainesville ISD",2020-10-04,"Cooke",49901,2849,1994.3,0,1,0,0,0,1,0,6,6,14,15,0,14,27
"Muenster ISD",2020-10-04,"Cooke,Montague",49902,228,216.6,NA,NA,NA,NA,NA,NA,NA,0,0,2,3,0,1,4
"Valley View ISD",2020-10-04,"Cooke,Denton",49903,885,732.01,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1
"Callisburg ISD",2020-10-04,"Cooke,Grayson",49905,1089,931.11,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,0,2
"Era ISD",2020-10-04,"Cooke,Denton,Montague",49906,474,436.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lindsay ISD",2020-10-04,"Cooke",49907,487,477.26,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,0,0,6
"Walnut Bend ISD",2020-10-04,"Cooke",49908,58,48.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sivells Bend ISD",2020-10-04,"Cooke",49909,50,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evant ISD",2020-10-04,"Coryell,Hamilton,Lampasas",50901,238,195.16,0,0,1,0,0,0,1,0,0,1,1,0,0,2
"Gatesville ISD",2020-10-04,"Bell,Bosque,Coryell,McLennan",50902,2766,2116.53,0,0,0,4,0,0,4,2,1,3,5,0,6,5
"Oglesby ISD",2020-10-04,"Coryell,McLennan",50904,184,171.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonesboro ISD",2020-10-04,"Bosque,Coryell,Hamilton",50909,315,292.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Copperas Cove ISD",2020-10-04,"Bell,Burnet,Coryell,Lampasas",50910,7660,4489.3,0,1,0,0,0,1,0,3,3,2,5,1,10,2
"Paducah ISD",2020-10-04,"Childress,Cottle,Dickens,Foard,Hall,King,Motley",51901,188,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Crane ISD",2020-10-04,"Crane,Crockett,Ector,Pecos,Upton,Ward",52901,1084,867.2,0,1,0,1,0,2,0,0,1,1,2,0,2,2
"Crockett County Consolidated Csd",2020-10-04,"Crane,Crockett,Irion,Pecos,Reagan,Schleicher,Sutton,Terrell,Upton,Val Verde",53001,714,574.56,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,3,0
"Crosbyton Cisd",2020-10-04,"Crosby,Dickens,Floyd,Garza,Kent,Motley",54901,326,287.12,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,0
"Lorenzo ISD",2020-10-04,"Crosby,Floyd,Garza,Hale,Lubbock,Lynn",54902,213,185.31,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,0,2,0
"Ralls ISD",2020-10-04,"Crosby,Floyd,Garza",54903,455,376.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Culberson County-Allamoore ISD",2020-10-04,"Culberson,Hudspeth,Jeff Davis,Reeves",55901,375,251.25,NA,NA,NA,NA,NA,NA,NA,0,0,0,4,0,4,0
"Dalhart ISD",2020-10-04,"Dallam,Hartley",56901,1515,1381.82,0,0,2,0,0,0,2,1,0,5,3,0,0,9
"Texline ISD",2020-10-04,"Dallam,Hartley",56902,188,186.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pegasus School Of Liberal Arts And Sciences",2020-10-04,"Dallas",57802,470,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uplift Education",2020-10-04,"Dallas",57803,21256,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Texans Can Academies",2020-10-04,"Dallas",57804,193,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lumin Education",2020-10-04,"Dallas",57805,275,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Advantage Academy",2020-10-04,"Dallas",57806,1202,96.16,1,0,1,2,0,1,3,1,0,1,5,0,3,4
"Life School",2020-10-04,"Dallas",57807,5508,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Universal Academy",2020-10-04,"Dallas",57808,2419,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy",2020-10-04,"Dallas",57809,115,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Academy Of Dallas",2020-10-04,"Dallas",57810,297,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Trinity Basin Preparatory",2020-10-04,"Dallas",57813,3873,100.51,1,0,0,1,0,0,2,2,0,0,12,0,2,12
"Academy For Academic Excellence",2020-10-04,"Dallas",57814,190,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A W Brown Leadership Academy",2020-10-04,"Dallas",57816,1404,717.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jean Massieu Academy",2020-10-04,"Dallas",57819,208,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nova Academy Southeast",2020-10-04,"Dallas",57827,605,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Winfree Academy Charter Schools",2020-10-04,"Dallas",57828,1097,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"A+ Academy",2020-10-04,"Dallas",57829,1394,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Inspired Vision Academy",2020-10-04,"Dallas",57830,1206,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gateway Charter Academy",2020-10-04,"Dallas",57831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Education Center International Academy",2020-10-04,"Dallas",57833,522,293.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evolution Academy Charter School",2020-10-04,"Dallas",57834,487,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Golden Rule Charter School",2020-10-04,"Dallas",57835,1445,72.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St Anthony School",2020-10-04,"Dallas",57836,338,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Academia De Estrellas",2020-10-04,"Dallas",57839,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richland Collegiate High School",2020-10-04,"Dallas",57840,506,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cityscape Schools",2020-10-04,"Dallas",57841,1220,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Manara Academy",2020-10-04,"Dallas",57844,647,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ume Preparatory Academy",2020-10-04,"Dallas",57845,1269,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Legacy Preparatory",2020-10-04,"Dallas",57846,1451,52.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Village Tech Schools",2020-10-04,"Dallas",57847,1239,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"International Leadership Of Texas (Iltexas)",2020-10-04,"Dallas",57848,20495,612.18,0,1,0,10,1,7,3,2,1,3,24,9,16,5
"Pioneer Technology & Arts Academy",2020-10-04,"Dallas",57850,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,1,0
"Bridgeway Preparatory Academy",2020-10-04,"Dallas",57851,92,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carrollton-Farmers Branch ISD",2020-10-04,"Collin,Dallas,Denton",57903,24061,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedar Hill ISD",2020-10-04,"Dallas,Ellis,Tarrant",57904,6989,29.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dallas ISD",2020-10-04,"Collin,Dallas,Denton,Ellis,Kaufman",57905,136120,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Desoto ISD",2020-10-04,"Dallas,Ellis",57906,8221,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duncanville ISD",2020-10-04,"Dallas",57907,11532,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garland ISD",2020-10-04,"Collin,Dallas,Rockwall",57909,55135,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Grand Prairie ISD",2020-10-04,"Dallas,Tarrant",57910,27936,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Highland Park ISD",2020-10-04,"Dallas",57911,6652,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Irving ISD",2020-10-04,"Dallas,Tarrant",57912,32930,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lancaster ISD",2020-10-04,"Dallas,Ellis",57913,7093,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mesquite ISD",2020-10-04,"Dallas,Kaufman",57914,37638,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Richardson ISD",2020-10-04,"Collin,Dallas",57916,33246,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sunnyvale ISD",2020-10-04,"Dallas,Kaufman,Rockwall",57919,1994,1297.29,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,0,2,3
"Coppell ISD",2020-10-04,"Dallas,Denton,Tarrant",57922,13041,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dawson ISD",2020-10-04,"Dawson,Gaines,Lynn,Terry",58902,153,107.1,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,1
"Klondike ISD",2020-10-04,"Andrews,Dawson,Gaines,Martin",58905,257,254.43,0,0,2,1,0,3,0,0,0,12,2,0,4,10
"Lamesa ISD",2020-10-04,"Borden,Dawson,Lynn",58906,1660,1245,2,0,11,4,0,0,17,7,1,25,37,0,12,58
"Sands Cisd",2020-10-04,"Borden,Dawson,Howard,Martin",58909,247,244.53,0,0,1,0,0,0,1,0,0,1,0,0,0,1
"Hereford ISD",2020-10-04,"Castro,Deaf Smith,Parmer,Randall",59901,3796,3012.4,1,0,0,1,0,2,0,6,2,14,11,0,33,0
"Walcott ISD",2020-10-04,"Deaf Smith,Parmer",59902,143,127.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cooper ISD",2020-10-04,"Delta,Franklin,Hopkins,Hunt,Lamar,Red River",60902,801,138.46,NA,NA,NA,NA,NA,NA,NA,0,0,2,1,0,2,1
"Fannindel ISD",2020-10-04,"Delta,Fannin,Hunt,Lamar",60914,150,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"University Of North Texas",2020-10-04,"Denton",61501,354,102.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"North Texas Collegiate Academy",2020-10-04,"Denton",61802,618,366.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Leadership Prep School",2020-10-04,"Denton",61804,1300,486,NA,NA,NA,NA,NA,NA,NA,0,1,2,0,0,1,2
"Trivium Academy",2020-10-04,"Denton",61805,615,369,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,1
"Denton ISD",2020-10-04,"Denton",61901,2161,21.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lewisville ISD",2020-10-04,"Collin,Dallas,Denton,Tarrant",61902,48244,2686.66,4,1,21,1,0,0,27,13,15,95,17,0,0,140
"Pilot Point ISD",2020-10-04,"Collin,Cooke,Denton,Grayson",61903,1336,1011.07,NA,NA,NA,NA,NA,NA,NA,0,0,3,1,0,4,0
"Krum ISD",2020-10-04,"Denton,Wise",61905,2098,1676.32,0,0,1,0,0,0,1,0,4,7,9,0,1,19
"Ponder ISD",2020-10-04,"Denton,Wise",61906,1583,1160.12,0,1,0,0,0,1,0,0,1,2,0,0,3,0
"Aubrey ISD",2020-10-04,"Denton",61907,2601,1592.24,0,0,0,1,0,1,0,0,0,2,1,1,1,1
"Sanger ISD",2020-10-04,"Cooke,Denton",61908,2495,1730.75,2,0,0,0,0,1,1,2,0,2,2,0,5,1
"Argyle ISD",2020-10-04,"Denton",61910,3691,2952.8,0,0,0,6,0,0,6,1,0,4,9,0,8,6
"Northwest ISD",2020-10-04,"Denton,Tarrant,Wise",61911,25193,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lake Dallas ISD",2020-10-04,"Denton",61912,3856,1857.93,0,1,2,0,0,0,3,0,3,4,1,0,0,8
"Little Elm ISD",2020-10-04,"Denton",61914,7963,4720.6798,0,1,2,1,0,4,0,4,3,16,19,5,30,7
"Cuero ISD",2020-10-04,"DeWitt,Gonzales,Victoria",62901,1930,1501.9,0,0,1,1,0,1,1,0,1,3,2,0,5,1
"Nordheim ISD",2020-10-04,"DeWitt,Goliad,Karnes",62902,144,122.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yoakum ISD",2020-10-04,"DeWitt,Gonzales,Lavaca,Victoria",62903,1137,992.21,0,0,1,1,0,2,0,1,0,16,8,0,23,2
"Yorktown ISD",2020-10-04,"DeWitt,Goliad,Gonzales,Karnes",62904,522,466.41,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Westhoff ISD",2020-10-04,"DeWitt,Gonzales",62905,65,64.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Meyersville ISD",2020-10-04,"DeWitt,Goliad,Victoria",62906,171,148.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spur ISD",2020-10-04,"Crosby,Dickens,Floyd,Garza,Kent,King,Motley,Stonewall",63903,230,211.6,NA,NA,NA,NA,NA,NA,NA,0,5,16,5,5,9,12
"Patton Springs ISD",2020-10-04,"Cottle,Dickens,King,Motley",63906,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Carrizo Springs Cisd",2020-10-04,"Dimmit,Frio,La Salle,Maverick,Webb,Zavala",64903,2011,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Clarendon ISD",2020-10-04,"Armstrong,Briscoe,Donley,Gray,Hall",65901,407,392.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hedley ISD",2020-10-04,"Collingsworth,Donley,Gray,Hall",65902,123,121.77,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,2
"Ramirez Csd",2020-10-04,"Brooks,Duval,Jim Hogg,Jim Wells",66005,41,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benavides ISD",2020-10-04,"Duval,Jim Hogg,Webb",66901,251,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"San Diego ISD",2020-10-04,"Duval,Jim Wells,Live Oak,McMullen",66902,1438,21.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Freer ISD",2020-10-04,"Duval,La Salle,McMullen,Webb",66903,731,56.6,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,1
"Cisco ISD",2020-10-04,"Callahan,Eastland,Shackelford,Stephens",67902,834,789.42,NA,NA,NA,NA,NA,NA,NA,0,0,1,6,0,7,0
"Eastland ISD",2020-10-04,"Eastland,Stephens",67903,1077,977.71,NA,NA,NA,NA,NA,NA,NA,0,0,5,3,2,0,6
"Gorman ISD",2020-10-04,"Comanche,Eastland",67904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ranger ISD",2020-10-04,"Eastland,Erath,Palo Pinto,Stephens",67907,347,290.7,NA,NA,NA,NA,NA,NA,NA,0,0,0,6,2,4,0
"Rising Star ISD",2020-10-04,"Brown,Comanche,Eastland",67908,85,80.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Compass Academy Charter School",2020-10-04,"Ector",68802,1336,1336,0,0,1,1,0,0,2,0,1,8,2,0,8,3
"Utpb Stem Academy",2020-10-04,"Ector",68803,812,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ector County ISD",2020-10-04,"Andrews,Crane,Ector,Midland,Upton,Ward,Winkler",68901,30730,6540.34,3,5,5,8,1,14,6,17,14,30,56,11,97,9
"Rocksprings ISD",2020-10-04,"Edwards,Kerr,Kimble,Kinney,Real,Sutton,Val Verde",69901,278,250.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nueces Canyon Cisd",2020-10-04,"Edwards,Kinney,Real,Uvalde",69902,264,179.2,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,0,1,0
"Waxahachie Faith Family Academy",2020-10-04,"Ellis",70801,2665,115.01,1,0,0,0,0,0,1,1,0,0,1,0,0,2
"Avalon ISD",2020-10-04,"Ellis,Navarro",70901,315,217.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ennis ISD",2020-10-04,"Ellis,Henderson,Kaufman,Navarro",70903,5722,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferris ISD",2020-10-04,"Dallas,Ellis,Kaufman",70905,2473,347.1,0,0,2,2,0,1,3,0,3,10,11,0,4,20
"Italy ISD",2020-10-04,"Ellis,Navarro",70907,620,409.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Midlothian ISD",2020-10-04,"Dallas,Ellis,Johnson,Tarrant",70908,9177,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Milford ISD",2020-10-04,"Ellis,Hill",70909,218,161.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Palmer ISD",2020-10-04,"Ellis",70910,1238,950.6,NA,NA,NA,NA,NA,NA,NA,0,0,4,0,0,0,4
"Red Oak ISD",2020-10-04,"Dallas,Ellis",70911,5906,2568.45,0,1,9,7,8,4,5,3,5,24,13,11,20,14
"Waxahachie ISD",2020-10-04,"Ellis",70912,9612,6507.54,NA,NA,NA,NA,NA,NA,NA,3,1,9,8,0,14,7
"Maypearl ISD",2020-10-04,"Ellis,Hill,Johnson",70915,1142,1008.48,NA,NA,NA,NA,NA,NA,NA,0,1,9,1,0,8,3
